location,city,country,utc,local,parameter,value,unit,latitude,longitude,attribution
Beijing US Embassy,Beijing,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,29,µg/m³,39.95,116.47,
Shanghai,Shanghai,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,34,µg/m³,31.21,121.44,
Guangzhou,Guangzhou,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,24,µg/m³,23.12,113.32,
Shenyang,Shenyang,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,103,µg/m³,41.78,123.42,
Chengdu,Chengdu,CN,2015-09-25T00:00:00.000Z,2015-09-25T08:00:00+08:00,pm25,36,µg/m³,30.63,104.07,
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm10,111.1,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,o3,28.31,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,so2,12.06,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,164,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Campiche,Puchuncaví,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,co,344.6,µg/m³,-32.736065,-71.450827,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Puerto Ventanas S.A""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,pm25,14.56,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Escuela E-10,Tocopilla,CL,2015-09-25T00:00:00.000Z,2015-09-24T21:00:00-03:00,no2,3.196,µg/m³,-22.087,-70.193253,"[{""name"":""SINCA"",""url"":""http://sinca.mma.gob.cl/""},{""name"":""Electroandina S.A.""}]"
Camden Kerbside,London,GB,2015-09-25T00:00:00.000Z,2015-09-25T01:00:00+01:00,no2,51,µg/m³,51.54421,-0.175269,
